ds,Country,y,YoY_Change
1981-01-01,Kenya,4.1,
1982-01-01,Kenya,5.0523556004,0.9523556004000007
1983-01-01,Kenya,1.5930549409,-3.4593006595
1984-01-01,Kenya,1.6001240776,0.007069136699999978
1985-01-01,Kenya,4.0728854279,2.4727613503
1986-01-01,Kenya,6.9821038937,2.9092184657999995
1987-01-01,Kenya,5.8106859736,-1.1714179200999997
1988-01-01,Kenya,6.0908480085,0.2801620349
1989-01-01,Kenya,4.5542262134,-1.5366217951000003
1990-01-01,Kenya,4.133687241,-0.42053897240000016
1991-01-01,Kenya,1.3393001148,-2.7943871261999993
1992-01-01,Kenya,-1.080186747,-2.4194868618000003
1993-01-01,Kenya,-0.094759474,0.985427273
1994-01-01,Kenya,2.5311821309,2.6259416049
1995-01-01,Kenya,4.2868716347,1.7556895037999998
1996-01-01,Kenya,4.0110310475,-0.2758405871999994
1997-01-01,Kenya,0.2201195016,-3.7909115459000002
1998-01-01,Kenya,3.3304624082,3.1103429065999997
1999-01-01,Kenya,2.4069530327,-0.9235093754999997
2000-01-01,Kenya,0.599251604,-1.8077014287000002
2001-01-01,Kenya,4.4647031824,3.8654515784
2002-01-01,Kenya,0.54538372,-3.9193194624
2003-01-01,Kenya,2.9322615926,2.3868778726000004
2004-01-01,Kenya,5.0883788513,2.1561172586999997
2005-01-01,Kenya,5.9,0.8116211487000005
2006-01-01,Kenya,6.7373881648,0.8373881647999992
2007-01-01,Kenya,6.8507297706,0.11334160580000052
2008-01-01,Kenya,0.2322827457,-6.6184470249
2009-01-01,Kenya,3.3,3.0677172542999998
2010-01-01,Kenya,8.4,5.1000000000000005
2011-01-01,Kenya,6.1,-2.3000000000000007
2012-01-01,Kenya,4.5,-1.5999999999999996
2013-01-01,Kenya,5.9,1.4000000000000004
2014-01-01,Kenya,5.4,-0.5
2015-01-01,Kenya,5.7,0.2999999999999998
2016-01-01,Kenya,5.9,0.20000000000000018
2017-01-01,Kenya,4.9,-1.0
2018-01-01,Kenya,5.8803032663,0.9803032663
2019-01-01,Kenya,5.998787842,0.11848457569999926
2020-01-01,Kenya,6.0844716021,0.08568376010000023
1981-01-01,Nigeria,20.8382279622,
1982-01-01,Nigeria,-1.0531883983,-21.891416360500003
1983-01-01,Nigeria,-5.0504502302,-3.9972618319
1984-01-01,Nigeria,-2.0215359103,3.0289143199
1985-01-01,Nigeria,8.3228258598,10.3443617701
1986-01-01,Nigeria,-8.7541765507,-17.0770024105
1987-01-01,Nigeria,-10.7516975998,-1.9975210490999995
1988-01-01,Nigeria,7.5425182716,18.2942158714
1989-01-01,Nigeria,6.4671916212,-1.0753266504
1990-01-01,Nigeria,12.7660088565,6.2988172353
1991-01-01,Nigeria,-0.6178494436,-13.3838583001
1992-01-01,Nigeria,0.433726281,1.0515757246000002
1993-01-01,Nigeria,2.0903783447,1.6566520637
1994-01-01,Nigeria,0.9097607773,-1.1806175674
1995-01-01,Nigeria,-0.3074662793,-1.2172270566
1996-01-01,Nigeria,4.993705316,5.3011715953
1997-01-01,Nigeria,2.8022565547,-2.1914487612999998
1998-01-01,Nigeria,2.7156392491,-0.08661730559999992
1999-01-01,Nigeria,0.4742379374,-2.2414013117000002
2000-01-01,Nigeria,5.3180920267,4.8438540893
2001-01-01,Nigeria,8.1643105479,2.8462185212
2002-01-01,Nigeria,21.1771178879,13.01280734
2003-01-01,Nigeria,10.3354737672,-10.8416441207
2004-01-01,Nigeria,10.5850162509,0.24954248370000087
2005-01-01,Nigeria,6.5119281084,-4.0730881425000005
2006-01-01,Nigeria,6.0310229011,-0.4809052073000002
2007-01-01,Nigeria,6.4498316504,0.4188087493000001
2008-01-01,Nigeria,5.9836635883,-0.4661680621000004
2009-01-01,Nigeria,6.9344168804,0.9507532920999999
2010-01-01,Nigeria,10.6,3.6655831196
2011-01-01,Nigeria,4.88738659,-5.7126134099999994
2012-01-01,Nigeria,4.279277261,-0.6081093290000004
2013-01-01,Nigeria,5.3944163074,1.1151390464000004
2014-01-01,Nigeria,6.3097186627,0.9153023552999997
2015-01-01,Nigeria,2.6526932888,-3.6570253739
2016-01-01,Nigeria,-1.5830654925,-4.2357587813
2017-01-01,Nigeria,0.824,2.4070654925
2018-01-01,Nigeria,1.9427225265,1.1187225265
2019-01-01,Nigeria,2.3401126945,0.39739016800000004
2020-01-01,Nigeria,2.4454969702,0.10538427569999964
1981-01-01,South Africa,5.3607405594,
1982-01-01,South Africa,-0.383353977,-5.7440945364
1983-01-01,South Africa,-1.8465489606,-1.4631949836
1984-01-01,South Africa,5.0990754891,6.9456244496999995
1985-01-01,South Africa,-1.2114403722,-6.3105158613
1986-01-01,South Africa,0.0177868911,1.2292272633
1987-01-01,South Africa,2.1007777883,2.0829908971999997
1988-01-01,South Africa,4.2000426639,2.0992648756
1989-01-01,South Africa,2.3948598131,-1.8051828507999996
1990-01-01,South Africa,-0.3177832031,-2.7126430162
1991-01-01,South Africa,-1.0183080152,-0.7005248120999998
1992-01-01,South Africa,-2.1370417156,-1.1187337004000002
1993-01-01,South Africa,1.2336134007,3.3706551163
1994-01-01,South Africa,3.2340992466,2.0004858459
1995-01-01,South Africa,3.1156957193,-0.11840352729999992
1996-01-01,South Africa,4.3066962106,1.1910004913
1997-01-01,South Africa,2.6467643194,-1.6599318912000003
1998-01-01,South Africa,0.517382743,-2.1293815764
1999-01-01,South Africa,2.3581285988,1.8407458558
2000-01-01,South Africa,4.1545885216,1.7964599228
2001-01-01,South Africa,2.7354231498,-1.4191653718000001
2002-01-01,South Africa,3.6678376111,0.9324144613
2003-01-01,South Africa,2.9490744247,-0.7187631863999999
2004-01-01,South Africa,4.5545434037,1.6054689790000003
2005-01-01,South Africa,5.2770921799,0.7225487762
2006-01-01,South Africa,5.6037661275,0.3266739475999998
2007-01-01,South Africa,5.3604651396,-0.24330098790000054
2008-01-01,South Africa,3.1910516451,-2.1694134944999997
2009-01-01,South Africa,-1.5381008639,-4.729152509
2010-01-01,South Africa,3.0397770628,4.577877926699999
2011-01-01,South Africa,3.2841668017,0.24438973890000026
2012-01-01,South Africa,2.2133536521,-1.0708131496000002
2013-01-01,South Africa,2.485185837,0.27183218490000005
2014-01-01,South Africa,1.8470084388,-0.6381773981999999
2015-01-01,South Africa,1.2795382582,-0.5674701806000002
2016-01-01,South Africa,0.5653629365,-0.7141753216999999
2017-01-01,South Africa,1.2615851301,0.6962221936
2018-01-01,South Africa,0.6963713115,-0.5652138186000001
2019-01-01,South Africa,1.7075967014,1.0112253898999999
2020-01-01,South Africa,1.9846617353,0.27706503390000004
