ds,Country,y,YoY_Change,Fiscal_Balance,Current_Account_Balance,Inflation
1982-01-01,Kenya,5.0523556004,0.9523556004000008,-4.3026111433,-3.2484043416,13.8171025688
1983-01-01,Kenya,1.5930549409,-3.4593006595,-3.0867995439,-0.4291257502,11.6055854552
1984-01-01,Kenya,1.6001240776,0.0070691366999999,-3.5982027369,-1.262704488,20.6625422031
1985-01-01,Kenya,4.0728854279,2.4727613503,-4.266141388,-1.1035453281,11.3992990936
1986-01-01,Kenya,6.9821038937,2.9092184657999995,-4.1700717739,-0.3115261412,10.2829257117
1987-01-01,Kenya,5.8106859736,-1.1714179200999997,-3.2355440035,-4.3178395327,13.0075328636
1988-01-01,Kenya,6.0908480085,0.2801620349,-2.8496741635,-3.9300634406,4.8047625718
1989-01-01,Kenya,4.5542262134,-1.5366217951000003,-3.4120628661,-5.8223936436,7.6176222131
1990-01-01,Kenya,4.133687241,-0.4205389724000001,-4.7714181998,-3.9207440909,16.5014933345
1991-01-01,Kenya,1.3393001148,-2.7943871261999997,-8.1516886938,-1.2451287595,19.6000246082
1992-01-01,Kenya,-1.080186747,-2.4194868618000003,-10.6177138915,-0.9004999137,27.3000127187
1993-01-01,Kenya,-0.094759474,0.985427273,-11.474596507,2.1895870062,40.7819526731
1994-01-01,Kenya,2.5311821309,2.6259416049,-5.5437075223,-0.0819022253,28.8136292945
1995-01-01,Kenya,4.2868716347,1.7556895037999998,-0.4855984737,-4.2168771823,1.5548134386
1996-01-01,Kenya,4.0110310475,-0.2758405871999994,-0.9591154144,-1.5552675381,8.99999459
1997-01-01,Kenya,0.2201195016,-3.7909115459,-1.5511151284,-3.3366054195,11.2000083825
1998-01-01,Kenya,3.3304624082,3.1103429066,-0.590609895,-3.9470828804,6.6067294365
1999-01-01,Kenya,2.4069530327,-0.9235093754999996,0.2904851432,-1.7635913593,5.7276942213
2000-01-01,Kenya,0.599251604,-1.8077014287,0.8139906699,-2.1850773104,10.0
2001-01-01,Kenya,4.4647031824,3.8654515784,-1.6693704522,-3.0253500585,5.8
2002-01-01,Kenya,0.54538372,-3.9193194624,-2.1759817298,2.421761624,1.989766913
2003-01-01,Kenya,2.9322615926,2.3868778726000004,-3.5543947788,-0.0780779807,9.8104793757
2004-01-01,Kenya,5.0883788513,2.1561172587,-0.9163333615,-0.8157239523,4.7977952363
2005-01-01,Kenya,5.9,0.8116211487000005,0.0341988185,-1.3464251187,9.9
2006-01-01,Kenya,6.7373881648,0.8373881647999992,-3.1430753964,-1.8547991535,7.2509726208
2007-01-01,Kenya,6.8507297706,0.1133416058000005,-0.7749993014,-3.1847410661,7.0275694356
2008-01-01,Kenya,0.2322827457,-6.6184470249,-3.3595722255,-5.6140337448,15.1138676371
2009-01-01,Kenya,3.3,3.0677172543,-3.3784254894,-4.6332805808,10.5373850289
2010-01-01,Kenya,8.4,5.1000000000000005,-5.8138671419,-5.9159828769,4.0838429309
2011-01-01,Kenya,6.1,-2.3000000000000007,-4.0871792343,-9.2114732328,14.0224939638
2012-01-01,Kenya,4.5,-1.5999999999999996,-4.5448923942,-6.9691099117,9.3777674816
2013-01-01,Kenya,5.9,1.4000000000000004,-5.4323060991,-8.7883484228,5.7174935704
2014-01-01,Kenya,5.4,-0.5,-5.8972772107,-10.3798323341,6.8781549928
2015-01-01,Kenya,5.7,0.2999999999999998,-8.6598151571,-6.7007041688,6.5821744025
2016-01-01,Kenya,5.9,0.2000000000000001,-7.9869892161,-5.2166489788,6.2971575246
2017-01-01,Kenya,4.9,-1.0,-8.9063997597,-6.6965585065,8.0057227913
2018-01-01,Kenya,5.8803032663,0.9803032663,-6.7447416914,-5.8077326247,4.7647891311
2019-01-01,Kenya,5.998787842,0.1184845756999992,-5.6966374336,-5.2109520747,5.4958105157
2020-01-01,Kenya,6.0844716021,0.0856837601000002,-4.8691273875,-5.3169852866,5.3672874728
1982-01-01,Nigeria,-1.0531883983,-21.891416360500003,-15.7543193672,-13.3245786332,7.7122617979
1983-01-01,Nigeria,-5.0504502302,-3.9972618319,-12.9249706669,-14.0607516851,23.2011856243
1984-01-01,Nigeria,-2.0215359103,3.0289143199,-6.5881036873,-3.9695672352,39.6011267493
1985-01-01,Nigeria,8.3228258598,10.3443617701,-1.6436862278,-0.7719586389,5.5306422137
1986-01-01,Nigeria,-8.7541765507,-17.0770024105,3.7933170154,-18.745405002,5.3568087097
1987-01-01,Nigeria,-10.7516975998,-1.9975210490999995,-5.3740724771,-5.9562658327,10.187296154
1988-01-01,Nigeria,7.5425182716,18.2942158714,-4.7008036788,-8.0233628751,34.5161583391
1989-01-01,Nigeria,6.4671916212,-1.0753266504,-2.7017049255,2.7650987757,50.4520775961
1990-01-01,Nigeria,12.7660088565,6.2988172353,2.9724601279,7.6190818989,7.3570405597
1991-01-01,Nigeria,-0.6178494436,-13.3838583001,0.6976894264,-1.1860560453,24.1030095715
1992-01-01,Nigeria,0.433726281,1.0515757246000002,2.0840058154,-4.3425890847,44.8047953394
1993-01-01,Nigeria,2.0903783447,1.6566520637,-6.8200662387,-12.0372098158,57.1690418985
1994-01-01,Nigeria,0.9097607773,-1.1806175674,-6.3284010013,-8.1193055892,57.030042279
1995-01-01,Nigeria,-0.3074662793,-1.2172270566,3.4160424807,-4.2516957768,72.8518558731
1996-01-01,Nigeria,4.993705316,5.3011715953,2.5761082485,4.1460451791,29.2615479788
1997-01-01,Nigeria,2.8022565547,-2.1914487613,-1.0111383879,4.7851737018,8.5356157915
1998-01-01,Nigeria,2.7156392491,-0.0866173055999999,-9.0895985454,-9.2435924774,9.9888196133
1999-01-01,Nigeria,0.4742379374,-2.2414013117,-5.1677103968,-3.9490024582,6.6175524619
2000-01-01,Nigeria,5.3180920267,4.8438540893,5.943762148,12.4742835763,6.9444444444
2001-01-01,Nigeria,8.1643105479,2.8462185212,-5.3382133896,4.5968162399,18.9
2002-01-01,Nigeria,21.1771178879,13.01280734,-3.3333646176,-13.024023997,12.9
2003-01-01,Nigeria,10.3354737672,-10.8416441207,2.40232732765,-5.9353557952,14.0
2004-01-01,Nigeria,10.5850162509,0.2495424837000008,8.1380192729,21.4546862232,14.9872642948
2005-01-01,Nigeria,6.5119281084,-4.0730881425000005,-0.7348721367,15.8386074181,17.9
2006-01-01,Nigeria,6.0310229011,-0.4809052073000002,5.6643966588,14.9579012791,8.2395265173
2007-01-01,Nigeria,6.4498316504,0.4188087493000001,-0.3507271194,10.4059242496,5.3822236518
2008-01-01,Nigeria,5.9836635883,-0.4661680621000004,-0.0272624403,8.6947473738,11.98
2009-01-01,Nigeria,6.9344168804,0.9507532921,-7.0423892574,5.1259612293,11.97
2010-01-01,Nigeria,10.6,3.6655831196,-1.9926344945,3.9205010752,13.59
2011-01-01,Nigeria,4.88738659,-5.71261341,-1.8503116733,3.0344205219,10.8400275419
2012-01-01,Nigeria,4.279277261,-0.6081093290000004,-1.6314463316,4.0742662277,12.2177817351
2013-01-01,Nigeria,5.3944163074,1.1151390464000004,-3.1846010714,3.8936868822,8.475827285
2014-01-01,Nigeria,6.3097186627,0.9153023552999996,-1.5210956568,0.2114986696,8.0624858244
2015-01-01,Nigeria,2.6526932888,-3.6570253739,-3.4999801008,-3.1958002465,9.0093871833
2016-01-01,Nigeria,-1.5830654925,-4.2357587813,-3.8483455941,0.8491001662,15.6753405526
2017-01-01,Nigeria,0.824,2.4070654925,-5.2134772641,2.7628801774,16.5235399802
2018-01-01,Nigeria,1.9427225265,1.1187225265,-4.0108887972,3.7101307101,11.862133852
2019-01-01,Nigeria,2.3401126945,0.397390168,-4.1850883075,3.3263895602,12.2152689324
2020-01-01,Nigeria,2.4454969702,0.1053842756999996,-4.3535098692,2.9184733387,11.4346409048
1982-01-01,South Africa,-0.383353977,-5.7440945364,-3.5088442654,-4.5063180619,14.6389306691
1983-01-01,South Africa,-1.8465489606,-1.4631949836,-4.1829017483,-0.476947536,12.3033892728
1984-01-01,South Africa,5.0990754891,6.9456244497,-5.4672468959,-2.4994574263,11.5262305782
1985-01-01,South Africa,-1.2114403722,-6.3105158613,-3.9480212093,4.0525713566,16.2942976079
1986-01-01,South Africa,0.0177868911,1.2292272633,-4.1491584912,4.2417751595,18.6548762574
1987-01-01,South Africa,2.1007777883,2.0829908972,-5.1558733571,5.9520060462,16.1605604579
1988-01-01,South Africa,4.2000426639,2.0992648756,-4.2635162216,2.7832243227,12.7796309309
1989-01-01,South Africa,2.3948598131,-1.8051828508,-2.2787426875,1.577424943,14.7307973341
1990-01-01,South Africa,-0.3177832031,-2.7126430162,-2.2573570953,1.3791509094,9.6972124267
1991-01-01,South Africa,-1.0183080152,-0.7005248120999998,-3.6079710552,1.1777817939,15.5999992138
1992-01-01,South Africa,-2.1370417156,-1.1187337004000002,-6.6196861861,1.5041977297,13.6999924124
1993-01-01,South Africa,1.2336134007,3.3706551163,-6.1534779142,2.1298514781,9.900004748
1994-01-01,South Africa,3.2340992466,2.0004858459,-5.2495307574,0.0116153653,8.8000040821
1995-01-01,South Africa,3.1156957193,-0.1184035272999999,-4.6675447551,-1.6502463056,8.6999968421
1996-01-01,South Africa,4.3066962106,1.1910004913,-4.4650433521,-1.1512183756,7.3000109015
1997-01-01,South Africa,2.6467643194,-1.6599318912000005,-3.9441190587,-1.4919866421,8.5999971853
1998-01-01,South Africa,0.517382743,-2.1293815764,-2.6362156246,-1.7644903722,7.1600020636
1999-01-01,South Africa,2.3581285988,1.8407458558,-2.0126100228,-0.51076402,6.9399938955
2000-01-01,South Africa,4.1545885216,1.7964599228,-1.971437882,-0.1292635556,7.7
2001-01-01,South Africa,2.7354231498,-1.4191653718,-1.4460096842,0.2812725795,5.8
2002-01-01,South Africa,3.6678376111,0.9324144613,-1.7625329903,0.828485277,9.1
2003-01-01,South Africa,2.9490744247,-0.7187631863999999,-2.272240277,-0.990075988,5.8
2004-01-01,South Africa,4.5545434037,1.6054689790000003,-1.3202431159,-3.0346088705,1.3735274467
2005-01-01,South Africa,5.2770921799,0.7225487762,-0.348225196,-3.4686286266,3.4
2006-01-01,South Africa,5.6037661275,0.3266739475999998,0.5770650191,-4.4772751984,4.6
2007-01-01,South Africa,5.3604651396,-0.2433009879000005,0.8898716411,-5.3834032867,7.2
2008-01-01,South Africa,3.1910516451,-2.1694134945,0.3474577805,-5.5368725948,11.5
2009-01-01,South Africa,-1.5381008639,-4.729152509,-4.5714789362,-2.728341808,7.264562145
2010-01-01,South Africa,3.0397770628,4.577877926699999,-4.25796017,-1.5009053831,4.063538973
2011-01-01,South Africa,3.2841668017,0.2443897389000002,-3.5750905502,-2.2178764926,5.0171577328
2012-01-01,South Africa,2.2133536521,-1.0708131496000002,-4.5163926851,-5.1308111125,5.723943662
2013-01-01,South Africa,2.485185837,0.2718321849,-4.1954176812,-5.7865065225,5.7764041351
2014-01-01,South Africa,1.8470084388,-0.6381773981999999,-4.0053236819,-5.070914652,6.1360201511
2015-01-01,South Africa,1.2795382582,-0.5674701806000002,-4.7138398352,-4.5930551281,4.509208278
2016-01-01,South Africa,0.5653629365,-0.7141753216999999,-3.9589273988,-2.7857293093,6.5946044146
2017-01-01,South Africa,1.2615851301,0.6962221936,-3.9681796298,-2.3929851429,5.2810822326
2018-01-01,South Africa,0.6963713115,-0.5652138186000001,-4.00000391,-3.1551087676,4.8698771624
2019-01-01,South Africa,1.7075967014,1.0112253899,-4.194928932,-3.1622842225,5.3235105182
2020-01-01,South Africa,1.9846617353,0.2770650339,-4.3262296446,-3.4713978128,5.5114309652
